subsystem,year,month,MWh,demand_avg_mw,demand_scaled_mw,month_start,gen_mwh,hours_in_month,gen_avg_mw,avg_gap_mw,scaled_gap_mw,year_total
NORTE,2022.0,7.0,3019853.227,4058.9425094086023,4058.9425094086023,2022-07-01,5094942.891,744.0,6848.0415201612905,2789.099010752688,2789.099010752688,2022
PARAGUAI,2022.0,7.0,0.0,0.0,0.0,2022-07-01,3894763.216,744.0,5234.8967956989245,5234.8967956989245,5234.8967956989245,2022
SUDESTE,2022.0,7.0,23248016.211000003,31247.333616935488,31247.333616935488,2022-07-01,13288993.079,744.0,17861.54983736559,-13385.783779569898,-13385.783779569898,2022
SUL,2022.0,7.0,7629542.487,10254.761407258064,10254.761407258064,2022-07-01,9061038.73,744.0,12178.815497311829,1924.0540900537653,1924.0540900537653,2022
TOTAL,,,,55123.02204032258,,2022-07-01,,,48010.05478629032,-7112.967254032261,-7112.967254032261,2022
NORDESTE,2022.0,8.0,7308507.847999999,9823.263236559138,9823.263236559138,2022-08-01,4806959.937,744.0,6460.967657258065,-3362.2955793010733,-3362.2955793010733,2022
NORTE,2022.0,8.0,3161107.0439999998,4248.7997903225805,4248.7997903225805,2022-08-01,3878137.769,744.0,5212.550764784946,963.7509744623658,963.7509744623658,2022
PARAGUAI,2022.0,8.0,0.0,0.0,0.0,2022-08-01,4390968.341,744.0,5901.8391680107525,5901.8391680107525,5901.8391680107525,2022
SUDESTE,2022.0,8.0,23776961.185000002,31958.281162634412,31958.281162634412,2022-08-01,14273722.835,744.0,19185.111337365593,-12773.169825268818,-12773.169825268818,2022
SUL,2022.0,8.0,7645256.099,10275.881853494624,10275.881853494624,2022-08-01,7961567.629,744.0,10701.031759408601,425.1499059139769,425.1499059139769,2022
TOTAL,,,,56306.226043010756,,2022-08-01,,,47461.50068682796,-8844.725356182797,-8844.725356182797,2022
NORDESTE,2022.0,9.0,7431674.987,10321.770815277778,10321.770815277778,2022-09-01,3362035.694,720.0,4669.494019444444,-5652.276795833333,-5652.276795833333,2022
NORTE,2022.0,9.0,3121361.4869999997,4335.224287499999,4335.224287499999,2022-09-01,4092391.214,720.0,5683.876686111112,1348.6523986111124,1348.6523986111124,2022
PARAGUAI,2022.0,9.0,0.0,0.0,0.0,2022-09-01,4597944.775,720.0,6386.034409722222,6386.034409722222,6386.034409722222,2022
SUDESTE,2022.0,9.0,23978622.48,33303.64233333334,33303.64233333334,2022-09-01,14251490.868,720.0,19793.73731666667,-13509.905016666668,-13509.905016666668,2022
SUL,2022.0,9.0,7536751.634,10467.710602777777,10467.710602777777,2022-09-01,8257743.844,720.0,11469.088672222222,1001.3780694444449,1001.3780694444449,2022
TOTAL,,,,58428.34803888889,,2022-09-01,,,48002.23110416667,-10426.116934722222,-10426.116934722222,2022
NORDESTE,2022.0,10.0,7652308.244,10285.360543010753,10285.360543010753,2022-10-01,3281969.493,744.0,4411.249318548387,-5874.1112244623655,-5874.1112244623655,2022
NORTE,2022.0,10.0,3154179.8079999997,4239.488989247311,4239.488989247311,2022-10-01,4595896.834,744.0,6177.280690860215,1937.791701612904,1937.791701612904,2022
PARAGUAI,2022.0,10.0,0.0,0.0,0.0,2022-10-01,6515648.863,744.0,8757.592557795699,8757.592557795699,8757.592557795699,2022
SUDESTE,2022.0,10.0,24035188.355,32305.3606922043,32305.3606922043,2022-10-01,13396360.351,744.0,18005.860686827957,-14299.500005376343,-14299.500005376343,2022
SUL,2022.0,10.0,7417894.236,9970.287951612903,9970.287951612903,2022-10-01,8422290.067,744.0,11320.282348118279,1349.9943965053753,1349.9943965053753,2022
TOTAL,,,,56800.49817607527,,2022-10-01,,,48672.26560215054,-8128.232573924732,-8128.232573924732,2022
NORDESTE,2022.0,11.0,7794133.204,10825.185005555555,10825.185005555555,2022-11-01,4079942.725,720.0,5666.587118055556,-5158.597887499999,-5158.597887499999,2022
NORTE,2022.0,11.0,3046759.076,4231.609827777777,4231.609827777777,2022-11-01,4359471.731,720.0,6054.821848611111,1823.2120208333336,1823.2120208333336,2022
PARAGUAI,2022.0,11.0,0.0,0.0,0.0,2022-11-01,6751115.727,720.0,9376.549620833333,9376.549620833333,9376.549620833333,2022
SUDESTE,2022.0,11.0,24054138.214,33408.52529722222,33408.52529722222,2022-11-01,15428762.138,720.0,21428.836302777778,-11979.688994444445,-11979.688994444445,2022
SUL,2022.0,11.0,7580348.783,10528.262198611112,10528.262198611112,2022-11-01,7674490.102,720.0,10659.014030555556,130.75183194444435,130.75183194444435,2022
TOTAL,,,,58993.58232916667,,2022-11-01,,,53185.80892083333,-5807.773408333333,-5807.773408333333,2022
NORDESTE,2022.0,12.0,7703288.681,10353.882635752689,10353.882635752689,2022-12-01,4768550.401,744.0,6409.3419368279565,-3944.540698924732,-3944.540698924732,2022
NORTE,2022.0,12.0,3066324.6780000003,4121.404137096774,4121.404137096774,2022-12-01,7483530.839,744.0,10058.509192204301,5937.105055107527,5937.105055107527,2022
PARAGUAI,2022.0,12.0,0.0,0.0,0.0,2022-12-01,5040753.049,744.0,6775.205711021505,6775.205711021505,6775.205711021505,2022
SUDESTE,2022.0,12.0,24217141.274,32549.9210672043,32549.9210672043,2022-12-01,18023102.083,744.0,24224.599573924734,-8325.321493279567,-8325.321493279567,2022
SUL,2022.0,12.0,8006829.467,10761.867563172043,10761.867563172043,2022-12-01,5471591.739,744.0,7354.289971774194,-3407.5775913978496,-3407.5775913978496,2022
TOTAL,,,,57787.07540322581,,2022-12-01,,,54821.94638575269,-2965.1290174731175,-2965.1290174731175,2022
