scenario,subsystem,year,month,demand_mw
referencia,NORDESTE,2026,8,13957.946582264925
referencia,NORDESTE,2026,9,14844.708198482147
referencia,NORDESTE,2026,10,14931.553637395567
referencia,NORDESTE,2026,11,15604.490189794195
referencia,NORDESTE,2026,12,15243.508610057639
referencia,NORDESTE,2027,1,14592.270072994072
referencia,NORDESTE,2027,2,15371.897323818783
referencia,NORDESTE,2027,3,14630.048133596465
referencia,NORDESTE,2027,4,14791.867253205604
referencia,NORDESTE,2027,5,14332.72761737969
referencia,NORDESTE,2027,6,14585.322573510442
referencia,NORDESTE,2027,7,14148.204205520024
referencia,NORDESTE,2027,8,14474.390605808729
referencia,NORDESTE,2027,9,15393.962401825986
referencia,NORDESTE,2027,10,15484.021121979202
referencia,NORDESTE,2027,11,16181.85632681658
referencia,NORDESTE,2027,12,15807.51842862977
referencia,NORDESTE,2028,1,15132.184065694853
referencia,NORDESTE,2028,2,15940.657524800077
referencia,NORDESTE,2028,3,15171.359914539535
referencia,NORDESTE,2028,4,15339.166341574206
referencia,NORDESTE,2028,5,14863.03853922274
referencia,NORDESTE,2028,6,15124.979508730328
referencia,NORDESTE,2028,7,14671.687761124265
referencia,NORDESTE,2028,8,15009.94305822365
referencia,NORDESTE,2028,9,15963.539010693545
referencia,NORDESTE,2028,10,16056.929903492432
referencia,NORDESTE,2028,11,16780.58501090879
referencia,NORDESTE,2028,12,16392.39661048907
referencia,SUDESTE,2025,1,45514.24025766132
referencia,SUDESTE,2025,2,49314.60175229486
referencia,SUDESTE,2025,3,47664.8058020411
referencia,SUDESTE,2025,4,47728.02861190996
referencia,SUDESTE,2025,5,44779.04431526182
referencia,SUDESTE,2025,6,45434.09769801599
referencia,SUDESTE,2025,7,44069.101632086895
referencia,SUDESTE,2025,8,45477.11792430909
referencia,SUDESTE,2025,9,48352.48023706158
referencia,SUDESTE,2025,10,48579.11665383935
referencia,SUDESTE,2025,11,49312.886727467136
referencia,SUDESTE,2025,12,48452.27707798928
referencia,SUDESTE,2026,1,46925.181705648814
referencia,SUDESTE,2026,2,50843.354406615996
referencia,SUDESTE,2026,3,49142.414781904365
referencia,SUDESTE,2026,4,49207.59749887918
referencia,SUDESTE,2026,5,46167.19468903493
referencia,SUDESTE,2026,6,46842.55472665448
referencia,SUDESTE,2026,7,45435.24378268159
referencia,SUDESTE,2026,8,46886.90857996266
referencia,SUDESTE,2026,9,49851.407124410485
referencia,SUDESTE,2026,10,50085.069270108375
referencia,SUDESTE,2026,11,50841.58621601862
referencia,SUDESTE,2026,12,49954.29766740694
referencia,SUDESTE,2027,1,48379.862338523926
referencia,SUDESTE,2027,2,52419.498393221096
referencia,SUDESTE,2027,3,50665.8296401434
referencia,SUDESTE,2027,4,50733.03302134443
referencia,SUDESTE,2027,5,47598.377724395
referencia,SUDESTE,2027,6,48294.673923180766
referencia,SUDESTE,2027,7,46843.73633994471
referencia,SUDESTE,2027,8,48340.4027459415
referencia,SUDESTE,2027,9,51396.800745267195
referencia,SUDESTE,2027,10,51637.70641748172
referencia,SUDESTE,2027,11,52417.67538871519
referencia,SUDESTE,2027,12,51502.880895096554
referencia,SUDESTE,2028,1,49879.63807101816
referencia,SUDESTE,2028,2,54044.50284341093
referencia,SUDESTE,2028,3,52236.47035898784
referencia,SUDESTE,2028,4,52305.757045006096
referencia,SUDESTE,2028,5,49073.92743385125
referencia,SUDESTE,2028,6,49791.80881479937
referencia,SUDESTE,2028,7,48295.892166483
referencia,SUDESTE,2028,8,49838.95523106569
referencia,SUDESTE,2028,9,52990.10156837048
referencia,SUDESTE,2028,10,53238.47531642365
referencia,SUDESTE,2028,11,54042.623325765366
referencia,SUDESTE,2028,12,53099.47020284455
referencia,SUL,2025,1,14634.544495405495
referencia,SUL,2025,2,16262.842934125443
referencia,SUL,2025,3,15236.786390420672
referencia,SUL,2025,4,14874.338358530731
referencia,SUL,2025,5,13461.007892183741
referencia,SUL,2025,6,13715.314333910988
